best_epoch,best_val_macro_f1,test_macro_f1,test_micro_f1,test_macro_auroc,test_macro_auprc,label_fraction,seed,frac,path,mtime
19.0,0.3821394651018824,0.4052890531984844,0.4646464646464646,0.7094162335097007,0.4446833797655756,0.01,7,0.01,physio_ppt/outputs/finetune/physio_ppt_frac01_finetune_s7_f0.01_f91209c22e,1771512031.2189713
19.0,0.3880065979511878,0.3994569223248391,0.4661776691116544,0.7145368965067176,0.4426696401513356,0.01,42,0.01,physio_ppt/outputs/finetune/physio_ppt_frac01_finetune_s42_f0.01_69be32a9da,1771445683.9690108
19.0,0.3554384388941767,0.3687758234136779,0.450075806800953,0.7283485783518445,0.468427207773809,0.01,123,0.01,physio_ppt/outputs/finetune/physio_ppt_frac01_finetune_s123_f0.01_ec91767682,1771512284.5989711
17.0,0.3643557233607438,0.3811647602657252,0.42860069657857,0.6997244733229684,0.4301445888889065,0.01,1337,0.01,physio_ppt/outputs/finetune/physio_ppt_frac01_finetune_s1337_f0.01_db0c0ce88c,1771464340.4089997
20.0,0.4070604081246491,0.4294777967393534,0.4751947519475195,0.7193738283726786,0.4593669748998202,0.01,2025,0.01,physio_ppt/outputs/finetune/physio_ppt_frac01_finetune_s2025_f0.01_1fd98e2868,1771488192.5789855
20.0,0.4980303047326359,0.5387800411022357,0.5520251396648045,0.7843601298616492,0.5677453284982461,0.05,7,0.05,physio_ppt/outputs/finetune/physio_ppt_frac05_finetune_s7_f0.05_3bf7f23c63,1771512105.4589713
11.0,0.4995029517431215,0.5333747278289189,0.570987058141781,0.7870064248400286,0.5603511646042887,0.05,42,0.05,physio_ppt/outputs/finetune/physio_ppt_frac05_finetune_s42_f0.05_07d6a45547,1771445846.1890106
11.0,0.4947891664107247,0.520917414735268,0.5418793722820949,0.7903857290146414,0.5631644988314327,0.05,123,0.05,physio_ppt/outputs/finetune/physio_ppt_frac05_finetune_s123_f0.05_e33053d4ed,1771512352.138971
16.0,0.4814201257639904,0.4914317934412405,0.5395260663507109,0.7568221208865809,0.5183260970446306,0.05,1337,0.05,physio_ppt/outputs/finetune/physio_ppt_frac05_finetune_s1337_f0.05_fa980b0793,1771464432.8889995
16.0,0.4783758526946382,0.4962017242596536,0.5113394755492559,0.7539666240605087,0.5158806373039533,0.05,2025,0.05,physio_ppt/outputs/finetune/physio_ppt_frac05_finetune_s2025_f0.05_70735941f1,1771488298.8589854
11.0,0.5550994593606574,0.5807261833019328,0.5962196219621962,0.8107515041112014,0.6072660812399913,0.1,7,0.1,physio_ppt/outputs/finetune/physio_ppt_frac10_finetune_s7_f0.10_2edd7d812c,1771512174.168971
14.0,0.5317102053663079,0.5551442515966128,0.5881006864988558,0.8019567506330822,0.6020842355422812,0.1,42,0.1,physio_ppt/outputs/finetune/physio_ppt_frac10_finetune_s42_f0.10_97f17eaa29,1771536599.5289567
8.0,0.5268980382105302,0.5732897788278303,0.6244326777609682,0.8214297139189759,0.6292036369647863,0.1,123,0.1,physio_ppt/outputs/finetune/physio_ppt_frac10_finetune_s123_f0.10_4fdac29f1d,1771512394.548971
12.0,0.5138388837572546,0.5305737300803844,0.5566282955811362,0.7829220979414482,0.5628014815450791,0.1,1337,0.1,physio_ppt/outputs/finetune/physio_ppt_frac10_finetune_s1337_f0.10_0ee117a58f,1771560223.3789425
12.0,0.5528752555226635,0.5685339565802038,0.5931992166636995,0.8087887676872253,0.5941176678542033,0.1,2025,0.1,physio_ppt/outputs/finetune/physio_ppt_frac10_finetune_s2025_f0.10_1a8b8f0865,1771582953.508929
